station,hour,type,trips
Ada St & Washington Blvd,0,totrips,0.0
Ada St & Washington Blvd,1,fromtrips,0.0
Ada St & Washington Blvd,1,totrips,0.0
Ada St & Washington Blvd,4,fromtrips,0.0
Ada St & Washington Blvd,4,totrips,0.0
Ada St & Washington Blvd,5,fromtrips,0.0
Ada St & Washington Blvd,5,totrips,0.0
Ada St & Washington Blvd,6,fromtrips,0.0
Ada St & Washington Blvd,6,totrips,0.0
Ada St & Washington Blvd,7,fromtrips,0.5
Ada St & Washington Blvd,7,totrips,0.2
Ada St & Washington Blvd,8,fromtrips,0.5
Ada St & Washington Blvd,8,totrips,0.2
Ada St & Washington Blvd,9,fromtrips,0.2
Ada St & Washington Blvd,9,totrips,0.1
Ada St & Washington Blvd,10,fromtrips,0.2
Ada St & Washington Blvd,10,totrips,0.1
Ada St & Washington Blvd,11,fromtrips,0.2
Ada St & Washington Blvd,11,totrips,0.1
Ada St & Washington Blvd,12,fromtrips,0.1
Ada St & Washington Blvd,12,totrips,0.1
Ada St & Washington Blvd,13,fromtrips,0.2
Ada St & Washington Blvd,13,totrips,0.1
Ada St & Washington Blvd,14,fromtrips,0.1
Ada St & Washington Blvd,14,totrips,0.1
Ada St & Washington Blvd,15,fromtrips,0.1
Ada St & Washington Blvd,15,totrips,0.1
Ada St & Washington Blvd,16,fromtrips,0.2
Ada St & Washington Blvd,16,totrips,0.4
Ada St & Washington Blvd,17,fromtrips,0.2
Ada St & Washington Blvd,17,totrips,0.6
Ada St & Washington Blvd,18,fromtrips,0.2
Ada St & Washington Blvd,18,totrips,0.3
Ada St & Washington Blvd,19,fromtrips,0.2
Ada St & Washington Blvd,19,totrips,0.2
Ada St & Washington Blvd,20,fromtrips,0.0
Ada St & Washington Blvd,20,totrips,0.1
Ada St & Washington Blvd,21,fromtrips,0.1
Ada St & Washington Blvd,21,totrips,0.0
Ada St & Washington Blvd,22,fromtrips,0.0
Ada St & Washington Blvd,22,totrips,0.0
Ada St & Washington Blvd,23,fromtrips,0.1
Ada St & Washington Blvd,23,totrips,0.0
Adler Planetarium,0,fromtrips,0.0
Adler Planetarium,0,totrips,0.0
Adler Planetarium,1,fromtrips,0.0
Adler Planetarium,1,totrips,0.0
Adler Planetarium,5,fromtrips,0.0
Adler Planetarium,5,totrips,0.0
Adler Planetarium,6,fromtrips,0.0
Adler Planetarium,6,totrips,0.0
Adler Planetarium,7,fromtrips,0.1
Adler Planetarium,7,totrips,0.1
Adler Planetarium,8,fromtrips,0.1
Adler Planetarium,8,totrips,0.1
Adler Planetarium,9,fromtrips,0.1
Adler Planetarium,9,totrips,0.2
Adler Planetarium,10,fromtrips,0.2
Adler Planetarium,10,totrips,0.4
Adler Planetarium,11,fromtrips,0.4
Adler Planetarium,11,totrips,0.6
Adler Planetarium,12,fromtrips,0.6
Adler Planetarium,12,totrips,0.8
Adler Planetarium,13,fromtrips,0.8
Adler Planetarium,13,totrips,0.7
Adler Planetarium,14,fromtrips,0.9
Adler Planetarium,14,totrips,0.9
Adler Planetarium,15,fromtrips,1.0
Adler Planetarium,15,totrips,0.8
Adler Planetarium,16,fromtrips,1.0
Adler Planetarium,16,totrips,0.6
Adler Planetarium,17,fromtrips,0.6
Adler Planetarium,17,totrips,0.4
Adler Planetarium,18,fromtrips,0.2
Adler Planetarium,18,totrips,0.2
Adler Planetarium,19,fromtrips,0.1
Adler Planetarium,19,totrips,0.1
Adler Planetarium,20,fromtrips,0.1
Adler Planetarium,20,totrips,0.1
Adler Planetarium,21,fromtrips,0.1
Adler Planetarium,21,totrips,0.0
Adler Planetarium,22,fromtrips,0.1
Adler Planetarium,22,totrips,0.1
Adler Planetarium,23,fromtrips,0.0
Adler Planetarium,23,totrips,0.0
Ashland Ave & 13th St,0,fromtrips,0.0
Ashland Ave & 13th St,0,totrips,0.0
Ashland Ave & 13th St,1,fromtrips,0.0
Ashland Ave & 13th St,1,totrips,0.0
Ashland Ave & 13th St,2,fromtrips,0.0
Ashland Ave & 13th St,2,totrips,0.0
Ashland Ave & 13th St,3,fromtrips,0.0
Ashland Ave & 13th St,3,totrips,0.0
Ashland Ave & 13th St,4,fromtrips,0.0
Ashland Ave & 13th St,4,totrips,0.0
Ashland Ave & 13th St,5,fromtrips,0.0
Ashland Ave & 13th St,5,totrips,0.0
Ashland Ave & 13th St,6,fromtrips,0.0
Ashland Ave & 13th St,6,totrips,0.0
Ashland Ave & 13th St,7,fromtrips,0.0
Ashland Ave & 13th St,7,totrips,0.0
Ashland Ave & 13th St,8,fromtrips,0.0
Ashland Ave & 13th St,8,totrips,0.1
Ashland Ave & 13th St,9,fromtrips,0.0
Ashland Ave & 13th St,9,totrips,0.2
Ashland Ave & 13th St,10,fromtrips,0.0
Ashland Ave & 13th St,10,totrips,0.1
Ashland Ave & 13th St,11,fromtrips,0.1
Ashland Ave & 13th St,11,totrips,0.0
Ashland Ave & 13th St,12,fromtrips,0.1
Ashland Ave & 13th St,12,totrips,0.0
Ashland Ave & 13th St,13,fromtrips,0.0
Ashland Ave & 13th St,13,totrips,0.1
Ashland Ave & 13th St,14,fromtrips,0.1
Ashland Ave & 13th St,14,totrips,0.1
Ashland Ave & 13th St,15,fromtrips,0.1
Ashland Ave & 13th St,15,totrips,0.0
Ashland Ave & 13th St,16,fromtrips,0.1
Ashland Ave & 13th St,16,totrips,0.1
Ashland Ave & 13th St,17,fromtrips,0.1
Ashland Ave & 13th St,17,totrips,0.1
Ashland Ave & 13th St,18,fromtrips,0.1
Ashland Ave & 13th St,18,totrips,0.0
Ashland Ave & 13th St,19,fromtrips,0.1
Ashland Ave & 13th St,19,totrips,0.0
Ashland Ave & 13th St,20,fromtrips,0.1
Ashland Ave & 13th St,20,totrips,0.0
Ashland Ave & 13th St,21,fromtrips,0.0
Ashland Ave & 13th St,21,totrips,0.0
Ashland Ave & 13th St,22,fromtrips,0.0
Ashland Ave & 13th St,22,totrips,0.0
Ashland Ave & 13th St,23,fromtrips,0.0
Ashland Ave & 13th St,23,totrips,0.0
Ashland Ave & 21st St,0,fromtrips,0.0
Ashland Ave & 21st St,0,totrips,0.1
Ashland Ave & 21st St,1,fromtrips,0.0
Ashland Ave & 21st St,1,totrips,0.0
Ashland Ave & 21st St,2,fromtrips,0.0
Ashland Ave & 21st St,2,totrips,0.0
Ashland Ave & 21st St,3,fromtrips,0.0
Ashland Ave & 21st St,3,totrips,0.0
Ashland Ave & 21st St,4,fromtrips,0.0
Ashland Ave & 21st St,4,totrips,0.0
Ashland Ave & 21st St,6,fromtrips,0.0
Ashland Ave & 21st St,6,totrips,0.0
Ashland Ave & 21st St,7,fromtrips,0.0
Ashland Ave & 21st St,7,totrips,0.0
Ashland Ave & 21st St,8,fromtrips,0.0
Ashland Ave & 21st St,8,totrips,0.0
Ashland Ave & 21st St,9,fromtrips,0.0
Ashland Ave & 21st St,9,totrips,0.0
Ashland Ave & 21st St,10,fromtrips,0.0
Ashland Ave & 21st St,10,totrips,0.0
Ashland Ave & 21st St,11,fromtrips,0.1
Ashland Ave & 21st St,11,totrips,0.0
Ashland Ave & 21st St,12,fromtrips,0.1
Ashland Ave & 21st St,12,totrips,0.0
Ashland Ave & 21st St,13,fromtrips,0.2
Ashland Ave & 21st St,13,totrips,0.1
Ashland Ave & 21st St,14,fromtrips,0.1
Ashland Ave & 21st St,14,totrips,0.0
Ashland Ave & 21st St,15,fromtrips,0.0
Ashland Ave & 21st St,15,totrips,0.1
Ashland Ave & 21st St,16,fromtrips,0.1
Ashland Ave & 21st St,16,totrips,0.1
Ashland Ave & 21st St,17,fromtrips,0.1
Ashland Ave & 21st St,17,totrips,0.1
Ashland Ave & 21st St,18,fromtrips,0.0
Ashland Ave & 21st St,18,totrips,0.0
Ashland Ave & 21st St,19,fromtrips,0.0
Ashland Ave & 21st St,19,totrips,0.0
Ashland Ave & 21st St,20,fromtrips,0.0
Ashland Ave & 21st St,20,totrips,0.0
Ashland Ave & 21st St,21,fromtrips,0.0
Ashland Ave & 21st St,21,totrips,0.0
Ashland Ave & 21st St,22,fromtrips,0.0
Ashland Ave & 21st St,22,totrips,0.0
Ashland Ave & 21st St,23,fromtrips,0.0
Ashland Ave & 21st St,23,totrips,0.1
Ashland Ave & Armitage Ave,0,fromtrips,0.1
Ashland Ave & Armitage Ave,0,totrips,0.1
Ashland Ave & Armitage Ave,1,fromtrips,0.1
Ashland Ave & Armitage Ave,1,totrips,0.1
Ashland Ave & Armitage Ave,2,fromtrips,0.0
Ashland Ave & Armitage Ave,2,totrips,0.0
Ashland Ave & Armitage Ave,3,fromtrips,0.0
Ashland Ave & Armitage Ave,3,totrips,0.0
Ashland Ave & Armitage Ave,4,fromtrips,0.0
Ashland Ave & Armitage Ave,4,totrips,0.0
Ashland Ave & Armitage Ave,5,fromtrips,0.0
Ashland Ave & Armitage Ave,5,totrips,0.5
Ashland Ave & Armitage Ave,6,fromtrips,0.5
Ashland Ave & Armitage Ave,6,totrips,1.7
Ashland Ave & Armitage Ave,7,fromtrips,2.5
Ashland Ave & Armitage Ave,7,totrips,2.9
Ashland Ave & Armitage Ave,8,fromtrips,3.5
Ashland Ave & Armitage Ave,8,totrips,1.2
Ashland Ave & Armitage Ave,9,fromtrips,1.1
Ashland Ave & Armitage Ave,9,totrips,0.2
Ashland Ave & Armitage Ave,10,fromtrips,0.4
Ashland Ave & Armitage Ave,10,totrips,0.4
Ashland Ave & Armitage Ave,11,fromtrips,0.4
Ashland Ave & Armitage Ave,11,totrips,0.4
Ashland Ave & Armitage Ave,12,fromtrips,0.5
Ashland Ave & Armitage Ave,12,totrips,0.5
Ashland Ave & Armitage Ave,13,fromtrips,0.6
Ashland Ave & Armitage Ave,13,totrips,0.4
Ashland Ave & Armitage Ave,14,fromtrips,0.4
Ashland Ave & Armitage Ave,14,totrips,0.5
Ashland Ave & Armitage Ave,15,fromtrips,0.6
Ashland Ave & Armitage Ave,15,totrips,0.8
Ashland Ave & Armitage Ave,16,fromtrips,1.4
Ashland Ave & Armitage Ave,16,totrips,2.5
Ashland Ave & Armitage Ave,17,fromtrips,2.6
Ashland Ave & Armitage Ave,17,totrips,3.2
Ashland Ave & Armitage Ave,18,fromtrips,2.9
Ashland Ave & Armitage Ave,18,totrips,1.1
Ashland Ave & Armitage Ave,19,fromtrips,0.8
Ashland Ave & Armitage Ave,19,totrips,0.7
Ashland Ave & Armitage Ave,20,fromtrips,0.5
Ashland Ave & Armitage Ave,20,totrips,0.5
Ashland Ave & Armitage Ave,21,fromtrips,0.4
Ashland Ave & Armitage Ave,21,totrips,0.3
Ashland Ave & Armitage Ave,22,fromtrips,0.3
Ashland Ave & Armitage Ave,22,totrips,0.3
Ashland Ave & Armitage Ave,23,fromtrips,0.3
Ashland Ave & Armitage Ave,23,totrips,0.1
Ashland Ave & Augusta Blvd,0,fromtrips,0.1
Ashland Ave & Augusta Blvd,0,totrips,0.2
Ashland Ave & Augusta Blvd,1,fromtrips,0.1
Ashland Ave & Augusta Blvd,1,totrips,0.1
Ashland Ave & Augusta Blvd,2,fromtrips,0.0
Ashland Ave & Augusta Blvd,2,totrips,0.1
Ashland Ave & Augusta Blvd,3,fromtrips,0.0
Ashland Ave & Augusta Blvd,3,totrips,0.0
Ashland Ave & Augusta Blvd,4,fromtrips,0.0
Ashland Ave & Augusta Blvd,4,totrips,0.0
Ashland Ave & Augusta Blvd,5,fromtrips,0.2
Ashland Ave & Augusta Blvd,5,totrips,0.0
Ashland Ave & Augusta Blvd,6,fromtrips,0.4
Ashland Ave & Augusta Blvd,6,totrips,0.0
Ashland Ave & Augusta Blvd,7,fromtrips,1.1
Ashland Ave & Augusta Blvd,7,totrips,0.4
Ashland Ave & Augusta Blvd,8,fromtrips,2.1
Ashland Ave & Augusta Blvd,8,totrips,0.2
Ashland Ave & Augusta Blvd,9,fromtrips,0.6
Ashland Ave & Augusta Blvd,9,totrips,0.3
Ashland Ave & Augusta Blvd,10,fromtrips,0.4
Ashland Ave & Augusta Blvd,10,totrips,0.2
Ashland Ave & Augusta Blvd,11,fromtrips,0.5
Ashland Ave & Augusta Blvd,11,totrips,0.4
Ashland Ave & Augusta Blvd,12,fromtrips,0.7
Ashland Ave & Augusta Blvd,12,totrips,0.5
Ashland Ave & Augusta Blvd,13,fromtrips,0.4
Ashland Ave & Augusta Blvd,13,totrips,0.5
Ashland Ave & Augusta Blvd,14,fromtrips,0.6
Ashland Ave & Augusta Blvd,14,totrips,0.5
Ashland Ave & Augusta Blvd,15,fromtrips,0.6
Ashland Ave & Augusta Blvd,15,totrips,0.6
Ashland Ave & Augusta Blvd,16,fromtrips,0.7
Ashland Ave & Augusta Blvd,16,totrips,1.0
Ashland Ave & Augusta Blvd,17,fromtrips,0.5
Ashland Ave & Augusta Blvd,17,totrips,2.1
Ashland Ave & Augusta Blvd,18,fromtrips,0.6
Ashland Ave & Augusta Blvd,18,totrips,1.1
Ashland Ave & Augusta Blvd,19,fromtrips,0.7
Ashland Ave & Augusta Blvd,19,totrips,0.7
Ashland Ave & Augusta Blvd,20,fromtrips,0.4
Ashland Ave & Augusta Blvd,20,totrips,0.6
Ashland Ave & Augusta Blvd,21,fromtrips,0.2
Ashland Ave & Augusta Blvd,21,totrips,0.6
Ashland Ave & Augusta Blvd,22,fromtrips,0.3
Ashland Ave & Augusta Blvd,22,totrips,0.4
Ashland Ave & Augusta Blvd,23,fromtrips,0.1
Ashland Ave & Augusta Blvd,23,totrips,0.3
Ashland Ave & Belle Plaine Ave,0,fromtrips,0.0
Ashland Ave & Belle Plaine Ave,0,totrips,0.1
Ashland Ave & Belle Plaine Ave,1,fromtrips,0.0
Ashland Ave & Belle Plaine Ave,1,totrips,0.0
Ashland Ave & Belle Plaine Ave,2,fromtrips,0.0
Ashland Ave & Belle Plaine Ave,2,totrips,0.1
Ashland Ave & Belle Plaine Ave,3,fromtrips,0.0
Ashland Ave & Belle Plaine Ave,3,totrips,0.0
Ashland Ave & Belle Plaine Ave,4,fromtrips,0.0
Ashland Ave & Belle Plaine Ave,4,totrips,0.0
Ashland Ave & Belle Plaine Ave,5,fromtrips,0.0
Ashland Ave & Belle Plaine Ave,5,totrips,0.0
Ashland Ave & Belle Plaine Ave,6,fromtrips,0.1
Ashland Ave & Belle Plaine Ave,6,totrips,0.0
Ashland Ave & Belle Plaine Ave,7,fromtrips,0.4
Ashland Ave & Belle Plaine Ave,7,totrips,0.0
Ashland Ave & Belle Plaine Ave,8,fromtrips,0.2
Ashland Ave & Belle Plaine Ave,8,totrips,0.1
Ashland Ave & Belle Plaine Ave,9,fromtrips,0.2
Ashland Ave & Belle Plaine Ave,9,totrips,0.0
Ashland Ave & Belle Plaine Ave,10,fromtrips,0.1
Ashland Ave & Belle Plaine Ave,10,totrips,0.1
Ashland Ave & Belle Plaine Ave,11,fromtrips,0.2
Ashland Ave & Belle Plaine Ave,11,totrips,0.1
Ashland Ave & Belle Plaine Ave,12,fromtrips,0.1
Ashland Ave & Belle Plaine Ave,12,totrips,0.1
Ashland Ave & Belle Plaine Ave,13,fromtrips,0.2
Ashland Ave & Belle Plaine Ave,13,totrips,0.1
Ashland Ave & Belle Plaine Ave,14,fromtrips,0.1
Ashland Ave & Belle Plaine Ave,14,totrips,0.1
Ashland Ave & Belle Plaine Ave,15,fromtrips,0.1
Ashland Ave & Belle Plaine Ave,15,totrips,0.1
Ashland Ave & Belle Plaine Ave,16,fromtrips,0.2
Ashland Ave & Belle Plaine Ave,16,totrips,0.1
Ashland Ave & Belle Plaine Ave,17,fromtrips,0.1
Ashland Ave & Belle Plaine Ave,17,totrips,0.5
Ashland Ave & Belle Plaine Ave,18,fromtrips,0.2
Ashland Ave & Belle Plaine Ave,18,totrips,0.3
Ashland Ave & Belle Plaine Ave,19,fromtrips,0.3
Ashland Ave & Belle Plaine Ave,19,totrips,0.2
Ashland Ave & Belle Plaine Ave,20,fromtrips,0.1
Ashland Ave & Belle Plaine Ave,20,totrips,0.2
Ashland Ave & Belle Plaine Ave,21,fromtrips,0.1
Ashland Ave & Belle Plaine Ave,21,totrips,0.2
Ashland Ave & Belle Plaine Ave,22,fromtrips,0.0
Ashland Ave & Belle Plaine Ave,22,totrips,0.1
Ashland Ave & Belle Plaine Ave,23,fromtrips,0.0
Ashland Ave & Belle Plaine Ave,23,totrips,0.1
Ashland Ave & Blackhawk St,0,fromtrips,0.1
Ashland Ave & Blackhawk St,0,totrips,0.0
Ashland Ave & Blackhawk St,1,fromtrips,0.0
Ashland Ave & Blackhawk St,1,totrips,0.0
Ashland Ave & Blackhawk St,2,fromtrips,0.0
Ashland Ave & Blackhawk St,2,totrips,0.0
Ashland Ave & Blackhawk St,3,fromtrips,0.0
Ashland Ave & Blackhawk St,3,totrips,0.0
Ashland Ave & Blackhawk St,4,fromtrips,0.0
Ashland Ave & Blackhawk St,4,totrips,0.0
Ashland Ave & Blackhawk St,5,fromtrips,0.0
Ashland Ave & Blackhawk St,5,totrips,0.0
Ashland Ave & Blackhawk St,6,fromtrips,0.0
Ashland Ave & Blackhawk St,6,totrips,0.0
Ashland Ave & Blackhawk St,7,fromtrips,0.3
Ashland Ave & Blackhawk St,7,totrips,0.0
Ashland Ave & Blackhawk St,8,fromtrips,0.4
Ashland Ave & Blackhawk St,8,totrips,0.0
Ashland Ave & Blackhawk St,9,fromtrips,0.2
Ashland Ave & Blackhawk St,9,totrips,0.1
Ashland Ave & Blackhawk St,10,fromtrips,0.2
Ashland Ave & Blackhawk St,10,totrips,0.1
Ashland Ave & Blackhawk St,11,fromtrips,0.1
Ashland Ave & Blackhawk St,11,totrips,0.3
Ashland Ave & Blackhawk St,12,fromtrips,0.1
Ashland Ave & Blackhawk St,12,totrips,0.1
Ashland Ave & Blackhawk St,13,fromtrips,0.1
Ashland Ave & Blackhawk St,13,totrips,0.2
Ashland Ave & Blackhawk St,14,fromtrips,0.1
Ashland Ave & Blackhawk St,14,totrips,0.2
Ashland Ave & Blackhawk St,15,fromtrips,0.1
Ashland Ave & Blackhawk St,15,totrips,0.2
Ashland Ave & Blackhawk St,16,fromtrips,0.1
Ashland Ave & Blackhawk St,16,totrips,0.3
Ashland Ave & Blackhawk St,17,fromtrips,0.1
Ashland Ave & Blackhawk St,17,totrips,0.4
Ashland Ave & Blackhawk St,18,fromtrips,0.2
Ashland Ave & Blackhawk St,18,totrips,0.4
Ashland Ave & Blackhawk St,19,fromtrips,0.1
Ashland Ave & Blackhawk St,19,totrips,0.3
Ashland Ave & Blackhawk St,20,fromtrips,0.1
Ashland Ave & Blackhawk St,20,totrips,0.1
Ashland Ave & Blackhawk St,21,fromtrips,0.1
Ashland Ave & Blackhawk St,21,totrips,0.2
Ashland Ave & Blackhawk St,22,fromtrips,0.0
Ashland Ave & Blackhawk St,22,totrips,0.1
Ashland Ave & Blackhawk St,23,fromtrips,0.0
Ashland Ave & Blackhawk St,23,totrips,0.1
Ashland Ave & Chicago Ave,0,fromtrips,0.0
Ashland Ave & Chicago Ave,0,totrips,0.1
Ashland Ave & Chicago Ave,1,fromtrips,0.0
Ashland Ave & Chicago Ave,1,totrips,0.0
Ashland Ave & Chicago Ave,2,fromtrips,0.0
Ashland Ave & Chicago Ave,2,totrips,0.0
Ashland Ave & Chicago Ave,3,fromtrips,0.0
Ashland Ave & Chicago Ave,3,totrips,0.0
Ashland Ave & Chicago Ave,4,fromtrips,0.0
Ashland Ave & Chicago Ave,4,totrips,0.0
Ashland Ave & Chicago Ave,5,fromtrips,0.1
Ashland Ave & Chicago Ave,5,totrips,0.1
Ashland Ave & Chicago Ave,6,fromtrips,0.1
Ashland Ave & Chicago Ave,6,totrips,0.0
Ashland Ave & Chicago Ave,7,fromtrips,0.3
Ashland Ave & Chicago Ave,7,totrips,0.2
Ashland Ave & Chicago Ave,8,fromtrips,0.4
Ashland Ave & Chicago Ave,8,totrips,0.3
Ashland Ave & Chicago Ave,9,fromtrips,0.2
Ashland Ave & Chicago Ave,9,totrips,0.2
Ashland Ave & Chicago Ave,10,fromtrips,0.2
Ashland Ave & Chicago Ave,10,totrips,0.2
Ashland Ave & Chicago Ave,11,fromtrips,0.3
Ashland Ave & Chicago Ave,11,totrips,0.3
Ashland Ave & Chicago Ave,12,fromtrips,0.4
Ashland Ave & Chicago Ave,12,totrips,0.4
Ashland Ave & Chicago Ave,13,fromtrips,0.4
Ashland Ave & Chicago Ave,13,totrips,0.4
Ashland Ave & Chicago Ave,14,fromtrips,0.4
Ashland Ave & Chicago Ave,14,totrips,0.4
Ashland Ave & Chicago Ave,15,fromtrips,0.5
Ashland Ave & Chicago Ave,15,totrips,0.4
Ashland Ave & Chicago Ave,16,fromtrips,0.4
Ashland Ave & Chicago Ave,16,totrips,0.5
Ashland Ave & Chicago Ave,17,fromtrips,0.6
Ashland Ave & Chicago Ave,17,totrips,0.6
Ashland Ave & Chicago Ave,18,fromtrips,0.3
Ashland Ave & Chicago Ave,18,totrips,0.4
